Visitor,Attraction,Visit Time,Start Time,End Time
Ouahida,Triton_Rapids,4,8,10
Xiaona,Carrousel,3,8,10
Mengyuan,Carrousel,3,8,10
Mariamou,Carrousel,4,8,10
Danila,Carrousel,4,8,10
Cristobalina,Iguazú,4,8,10
Dalya,Iguazú,4,8,10
Nourhane,Iguazú,4,8,10
Romano,Iguazú,4,8,10
Samuil,Iguazú,4,8,10
Amalio,Iguazú,4,8,10
Maud,Iguazú,4,8,10
Mariann,Iguazú,4,8,10
Esneda,Carrousel,4,8,10
Arey,Iguazú,4,8,10
Yakhya,Iguazú,4,8,10
Jesualdo,Iguazú,4,8,10
Mayi,Splash,3,7,11
Hunaida,Splash,4,7,11
Yasmany,Splash,4,7,11
Adel,Splash,4,7,11
Brigido,Splash,4,7,11
Otman,Splash,4,7,11
Laurentia,Splash,4,7,11
Guaditoca,Lazy_River,3,8,11
Shanti,Rapids,3,8,11
Tanisha,Lazy_River,3,8,11
Kulwinder,Rapids,3,8,11
Mariyamu,Lazy_River,3,8,11
Feiyan,Rapids,3,8,11
Happy,Lazy_River,4,8,11
Mamasa,Lazy_River,4,8,11
Dietrich,Lazy_River,4,8,11
Raissa,Lazy_River,4,8,11
Burak,Rapids,3,8,11
Lubos,Rapids,3,8,11
Santa,Rapids,3,8,11
Jordany,Rapids,3,8,11
Kristel,Rapids,3,8,11
Owais,Lazy_River,4,8,11
Jasmine,Lazy_River,4,8,11
Tourya,Lazy_River,4,8,11
Egidia,Rapids,3,8,11
Lianne,Rapids,3,8,11
Esma,Lazy_River,4,8,11
Peregrin,Lazy_River,4,8,11
Hadiya,Rapids,3,8,11
Sihan,Lazy_River,4,8,11
Edu,Lazy_River,4,8,11
Roxanna,Rapids,3,8,11
Dekra,Rapids,3,8,11
Andrada,Lazy_River,4,8,11
